2024-04-24 10:47:09 status half-installed hostname:amd64 3.23+nmu2ubuntu2
2024-04-24 10:47:09 status unpacked hostname:amd64 3.23+nmu2ubuntu2
2024-04-24 10:47:09 install init-system-helpers:all <none> 1.66ubuntu1
2024-04-24 10:47:09 status half-installed init-system-helpers:all 1.66ubuntu1
2024-04-24 10:47:09 status unpacked init-system-helpers:all 1.66ubuntu1
2024-04-24 10:47:09 install libacl1:amd64 <none> 2.3.2-1build1
2024-04-24 10:47:09 status half-installed libacl1:amd64 2.3.2-1build1
2024-04-24 10:47:09 status unpacked libacl1:amd64 2.3.2-1build1
2024-04-24 10:47:09 install libattr1:amd64 <none> 1:2.5.2-1build1
2024-04-24 10:47:09 status half-installed libattr1:amd64 1:2.5.2-1build1
2024-04-24 10:47:09 status unpacked libattr1:amd64 1:2.5.2-1build1
2024-04-24 10:47:09 install libaudit-common:all <none> 1:3.1.2-2.1build1
2024-04-24 10:47:09 status half-installed libaudit-common:all 1:3.1.2-2.1build1
2024-04-24 10:47:09 status unpacked libaudit-common:all 1:3.1.2-2.1build1
2024-04-24 10:47:09 install libaudit1:amd64 <none> 1:3.1.2-2.1build1
2024-04-24 10:47:09 status half-installed libaudit1:amd64 1:3.1.2-2.1build1
2024-04-24 10:47:09 status unpacked libaudit1:amd64 1:3.1.2-2.1build1
2024-04-24 10:47:09 install libblkid1:amd64 <none> 2.39.3-9ubuntu6
2024-04-24 10:47:09 status half-installed libblkid1:amd64 2.39.3-9ubuntu6
2024-04-24 10:47:09 status unpacked libblkid1:amd64 2.39.3-9ubuntu6
2024-04-24 10:47:09 install libbz2-1.0:amd64 <none> 1.0.8-5.1
2024-04-24 10:47:09 status half-installed libbz2-1.0:amd64 1.0.8-5.1
2024-04-24 10:47:09 status unpacked libbz2-1.0:amd64 1.0.8-5.1
2024-04-24 10:47:09 install libc-bin:amd64 <none> 2.39-0ubuntu8
2024-04-24 10:47:09 status half-installed libc-bin:amd64 2.39-0ubuntu8
